,id,programmatore,backend,frontend,fullstack,seo,security,stampa3d,ia,datamining,design,video-audio,mobile,web,comunicazione,hr,management,team,extrascore,oldscore,formazione,classe
0,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.09523809523809523,0.05555555555555555,0,backend
1,-2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0.09523809523809523,0.1111111111111111,0,amministrativi
2,-3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.14285714285714285,0.3333333333333333,1,scartati
3,-4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.19047619047619047,0.05555555555555555,1,fullstack
4,-5,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0.09523809523809523,0.1111111111111111,3,grafici
5,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.047619047619047616,0.16666666666666666,2,frontend
6,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.09523809523809523,0.05555555555555555,2,fullstack
7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09523809523809523,0.2777777777777778,1,scartati
8,8,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0.19047619047619047,0.05555555555555555,2,frontend
9,10,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0.09523809523809523,0.1111111111111111,3,frontend
10,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.19047619047619047,0.2777777777777778,2,backend
11,12,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0.14285714285714285,0.0,2,backend
12,13,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.047619047619047616,0.0,2,scartati
13,14,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0.19047619047619047,0.05555555555555555,1,backend
14,15,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.3333333333333333,0.1111111111111111,0,scartati
15,16,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0.2380952380952381,0.4444444444444444,1,backend
16,17,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.2380952380952381,0.2222222222222222,3,backend
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.14285714285714285,0.2222222222222222,3,scartati
18,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.09523809523809523,0.2777777777777778,3,grafici
19,20,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.19047619047619047,0.16666666666666666,2,frontend
20,21,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0.2380952380952381,0.16666666666666666,2,grafici
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.09523809523809523,0.2222222222222222,3,scartati
22,23,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.09523809523809523,0.16666666666666666,1,frontend
23,25,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.19047619047619047,0.2777777777777778,1,amministrativi
24,26,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.09523809523809523,0.3333333333333333,3,grafici
25,27,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.3333333333333333,0.2777777777777778,3,fullstack
26,28,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0.14285714285714285,0.2222222222222222,2,backend
27,29,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.19047619047619047,0.3888888888888889,1,grafici
28,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.09523809523809523,0.05555555555555555,0,backend
29,2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0.09523809523809523,0.1111111111111111,0,grafici
30,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.14285714285714285,0.3333333333333333,1,amministrativi
31,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.19047619047619047,0.05555555555555555,1,amministrativi
32,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.047619047619047616,0.16666666666666666,2,scartati
33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.09523809523809523,0.05555555555555555,3,grafici
34,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.14285714285714285,0.16666666666666666,2,amministrativi
35,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.14285714285714285,0.2222222222222222,2,backend
